filename,predicted_class,confidence(%)
161\synth_161_angsana_formal.png,161,99.08672571182251
161\synth_161_cordia_classic.png,161,99.64197874069214
161\synth_161_leelawadee_bold.png,161,43.82230043411255
161\synth_161_leelawadee_modern.png,161,95.25460004806519
161\synth_161_tahoma_slant.png,161,65.49643278121948
161\synth_161_tahoma_std.png,161,82.15767741203308
162\synth_162_angsana_formal.png,162,90.00824093818665
162\synth_162_cordia_classic.png,162,95.9695816040039
162\synth_162_leelawadee_bold.png,162,65.8335030078888
162\synth_162_leelawadee_modern.png,162,99.76516366004944
162\synth_162_tahoma_slant.png,162,76.4794647693634
162\synth_162_tahoma_std.png,162,91.63617491722107
163\synth_163_angsana_formal.png,171,92.53982901573181
163\synth_163_cordia_classic.png,171,75.21101832389832
163\synth_163_leelawadee_bold.png,171,99.88492727279663
163\synth_163_leelawadee_modern.png,171,99.77520108222961
163\synth_163_tahoma_slant.png,171,99.30233955383301
163\synth_163_tahoma_std.png,171,99.97745156288147
164\synth_164_angsana_formal.png,164,99.97368454933167
164\synth_164_cordia_classic.png,164,74.5988667011261
164\synth_164_leelawadee_bold.png,164,99.92873072624207
164\synth_164_leelawadee_modern.png,164,29.77699041366577
164\synth_164_tahoma_slant.png,164,97.94578552246094
164\synth_164_tahoma_std.png,164,93.00715327262878
167\synth_167_angsana_formal.png,167,99.2857813835144
167\synth_167_cordia_classic.png,167,99.92852807044983
167\synth_167_leelawadee_bold.png,167,98.93136620521545
167\synth_167_leelawadee_modern.png,167,99.90043044090271
167\synth_167_tahoma_slant.png,167,99.97937083244324
167\synth_167_tahoma_std.png,167,99.98076558113098
168\synth_168_angsana_formal.png,168,99.9549925327301
168\synth_168_cordia_classic.png,176,37.84508407115936
168\synth_168_leelawadee_bold.png,168,93.44258308410645
168\synth_168_leelawadee_modern.png,168,92.00579524040222
168\synth_168_tahoma_slant.png,168,93.00742745399475
168\synth_168_tahoma_std.png,168,96.49636149406433
169\synth_169_angsana_formal.png,169,99.99961853027344
169\synth_169_cordia_classic.png,179,44.708120822906494
169\synth_169_leelawadee_bold.png,169,99.60831999778748
169\synth_169_leelawadee_modern.png,169,99.9634861946106
169\synth_169_tahoma_slant.png,169,91.67216420173645
169\synth_169_tahoma_std.png,169,99.49874877929688
170\synth_170_angsana_formal.png,170,99.90891218185425
170\synth_170_cordia_classic.png,170,97.89997339248657
170\synth_170_leelawadee_bold.png,170,82.56360292434692
170\synth_170_leelawadee_modern.png,170,98.2422947883606
170\synth_170_tahoma_slant.png,170,99.1101622581482
170\synth_170_tahoma_std.png,170,98.10081124305725
171\synth_171_angsana_formal.png,171,99.99059438705444
171\synth_171_cordia_classic.png,171,99.62642788887024
171\synth_171_leelawadee_bold.png,171,99.9970555305481
171\synth_171_leelawadee_modern.png,171,99.90689158439636
171\synth_171_tahoma_slant.png,171,99.91499185562134
171\synth_171_tahoma_std.png,171,99.99570846557617
173\synth_173_angsana_formal.png,173,73.41338396072388
173\synth_173_cordia_classic.png,173,71.8781054019928
173\synth_173_leelawadee_bold.png,179,34.14050042629242
173\synth_173_leelawadee_modern.png,173,98.51084351539612
173\synth_173_tahoma_slant.png,179,46.99304401874542
173\synth_173_tahoma_std.png,173,88.48594427108765
175\synth_175_angsana_formal.png,175,99.93749260902405
175\synth_175_cordia_classic.png,175,99.96663331985474
175\synth_175_leelawadee_bold.png,175,69.37900185585022
175\synth_175_leelawadee_modern.png,175,99.90377426147461
175\synth_175_tahoma_slant.png,175,99.56666827201843
175\synth_175_tahoma_std.png,175,99.96500015258789
